Date,Symbol,Close,mom,yoy
31-12-2021,SILVER       ,62660,0.016448756,-0.079950077
31-01-2022,SILVER       ,60976,-0.026875199,-0.125240295
28-02-2022,SILVER       ,64920,0.064681186,-0.034804716
31-03-2022,SILVER       ,67487,0.039540974,0.057557903
29-04-2022,SILVER       ,63556,-0.058248255,-0.058764291
31-05-2022,SILVER       ,61125,-0.038249733,-0.149837269
30-06-2022,SILVER       ,58330,-0.045725971,-0.143905482
21-07-2022,SILVER       ,55411,-0.05004286,-0.183294766
30-11-2020,SILVERM      ,60279,,
31-12-2020,SILVERM      ,68079,0.129398298,
29-01-2021,SILVERM      ,69668,0.023340531,
26-02-2021,SILVERM      ,69371,-0.004263076,
31-03-2021,SILVERM      ,64032,-0.076962996,
30-04-2021,SILVERM      ,67995,0.06189093,
31-05-2021,SILVERM      ,71927,0.057827781,
30-06-2021,SILVERM      ,67910,-0.055848291,
30-07-2021,SILVERM      ,68067,0.002311883,
31-08-2021,SILVERM      ,63254,-0.070709742,
30-09-2021,SILVERM      ,59861,-0.053640876,
29-10-2021,SILVERM      ,64707,0.080954211,
30-11-2021,SILVERM      ,62721,-0.030692197,0.040511621
31-12-2021,SILVERM      ,62905,0.002933627,-0.075999941
31-01-2022,SILVERM      ,61318,-0.025228519,-0.119854165
28-02-2022,SILVERM      ,65864,0.0741381,-0.050554266
31-03-2022,SILVERM      ,67660,0.02726831,0.05665917
29-04-2022,SILVERM      ,64635,-0.044708838,-0.049415398
31-05-2022,SILVERM      ,61450,-0.049276708,-0.145661574
30-06-2022,SILVERM      ,59606,-0.030008137,-0.122279488
21-07-2022,SILVERM      ,56006,-0.060396604,-0.17719306
30-11-2020,SILVERMIC    ,60294,,
31-12-2020,SILVERMIC    ,68086,0.129233423,
29-01-2021,SILVERMIC    ,69654,0.023029698,
26-02-2021,SILVERMIC    ,69371,-0.00406294,
31-03-2021,SILVERMIC    ,64034,-0.076934166,
30-04-2021,SILVERMIC    ,67919,0.060670894,
31-05-2021,SILVERMIC    ,71924,0.058967299,
30-06-2021,SILVERMIC    ,67910,-0.055808909,
30-07-2021,SILVERMIC    ,68058,0.002179355,
31-08-2021,SILVERMIC    ,63254,-0.070586852,
30-09-2021,SILVERMIC    ,59853,-0.053767351,
